date,equipo_local_norm,equipo_visitante_norm,goles_local_num,goles_visitante_num,ranking_local,ranking_visitante,local_lastN_matches,local_lastN_wins,local_lastN_winrate,local_lastN_goals_for,local_lastN_goals_against,local_lastN_remates_total,local_lastN_remates_puerta,local_lastN_possession_avg,visitante_lastN_matches,visitante_lastN_wins,visitante_lastN_winrate,visitante_lastN_goals_for,visitante_lastN_goals_against,visitante_lastN_remates_total,visitante_lastN_remates_puerta,visitante_lastN_possession_avg,total_goles_partido,diferencia_goles_partido,resultado_texto,peso
2025-09-01,agropecuario,alte brown,3,1,0.8857142857142857,0.5714285714285714,6,2,0.333,7,7,75,38,50.167,6,2,0.333,7,5,42,22,50.167,4,2,gana_local,2
2025-09-01,deportivo moron,ca estudiantes,1,1,0.7428571428571429,0.9714285714285714,6,3,0.5,5,5,60,25,47.5,6,5,0.833,11,2,61,41,48.333,2,0,empate,2
2025-09-01,san martin tuc,arsenal sarandi,0,3,0.19999999999999996,0.02857142857142858,6,1,0.167,4,7,60,32,54.167,6,3,0.5,11,10,78,42,50.333,3,-3,gana_visitante,2
2025-08-31,los andes,san miguel,0,0,0.2571428571428571,0.34285714285714286,6,3,0.5,8,3,56,30,47.667,6,3,0.5,7,9,53,34,48.167,0,0,empate,2
2025-08-31,club a guemes,colegiales,1,0,0.7428571428571429,0.8857142857142857,6,0,0.0,6,10,67,28,51.833,6,2,0.333,5,5,34,20,44.833,1,1,gana_local,2
2025-08-31,deportivo maipu,deportivo madryn,2,1,0.48571428571428577,0.8857142857142857,6,1,0.167,4,6,55,25,49.167,6,5,0.833,15,5,73,53,53.5,3,1,gana_local,2
2025-08-31,estudiantes rio cuarto,temperley,1,0,0.48571428571428577,0.6571428571428571,6,3,0.5,6,4,58,34,49.333,6,2,0.333,3,1,37,20,48.833,1,1,gana_local,2
2025-08-31,gimnasia jujuy,central norte,1,0,0.0,0.22857142857142854,6,2,0.333,8,3,54,30,54.167,6,2,0.333,6,5,42,25,51.667,1,1,gana_local,2
2025-08-31,gimnasia y tiro,alvarado,3,0,0.37142857142857144,0.4571428571428572,6,2,0.333,4,4,70,34,51.833,6,1,0.167,4,2,60,24,46.833,3,3,gana_local,2
2025-08-31,patronato,atlanta,0,0,0.4,0.5714285714285714,6,3,0.5,3,3,59,26,53.833,6,2,0.333,6,7,54,31,49.833,0,0,empate,2
2025-08-31,almagro,quilmes,2,2,0.02857142857142858,0.05714285714285716,6,1,0.167,4,5,49,24,50.667,6,2,0.333,5,7,43,28,50.667,4,0,empate,2
2025-08-30,san telmo,chaco for ever,0,2,0.48571428571428577,0.34285714285714286,6,2,0.333,5,8,51,28,52.667,6,2,0.333,4,6,50,24,48.5,2,-2,gana_visitante,2
2025-08-30,talleres (re),defensores unidos,0,1,0.48571428571428577,0.05714285714285716,6,3,0.5,7,8,62,40,49.333,6,1,0.167,8,10,43,28,47.0,1,-1,gana_visitante,2
2025-08-30,chacarita,ca mitre,2,2,0.02857142857142858,0.11428571428571432,6,2,0.333,5,5,49,24,52.167,6,1,0.167,5,8,55,29,46.667,4,0,empate,2
2025-08-30,tristan suarez,all boys,2,0,0.3142857142857143,0.2571428571428571,6,2,0.333,6,5,50,30,46.667,6,3,0.5,4,2,26,15,44.833,2,2,gana_local,2
2025-08-28,quilmes,alvarado,0,0,0.1428571428571429,0.34285714285714286,6,2,0.333,5,8,48,29,51.5,6,1,0.167,4,2,56,21,46.167,0,0,empate,2
2025-08-28,deportivo moron,gimnasia mendoza,1,0,0.7714285714285715,0.6285714285714286,6,3,0.5,6,6,71,30,49.333,6,4,0.667,7,3,59,30,51.833,1,1,gana_local,2
2025-08-26,all boys,san martin tuc,0,0,0.2571428571428571,0.02857142857142858,6,3,0.5,4,2,19,12,45.167,6,2,0.333,5,7,62,31,53.667,0,0,empate,2
2025-08-24,chaco for ever,agropecuario,1,1,0.6571428571428571,0.9428571428571428,6,2,0.333,3,6,34,14,47.5,6,2,0.333,7,7,70,36,51.0,2,0,empate,2
2025-08-24,racing cordoba,almagro,1,1,0.5428571428571429,0.02857142857142858,6,2,0.333,5,8,72,33,52.0,6,1,0.167,4,6,55,25,51.333,2,0,empate,2
2025-08-24,ca mitre,san telmo,3,0,0.19999999999999996,0.4,6,1,0.167,3,8,47,22,47.0,6,2,0.333,6,7,52,28,52.5,3,3,gana_local,2
2025-08-24,defensores unidos,estudiantes rio cuarto,1,2,0.2857142857142857,0.7714285714285715,6,1,0.167,7,9,42,24,46.167,6,2,0.333,5,4,58,32,49.167,3,-1,gana_visitante,2
2025-08-24,deportivo madryn,gimnasia y tiro,2,0,0.8285714285714285,0.6571428571428571,6,4,0.667,14,6,70,50,52.167,6,3,0.5,6,3,72,35,52.667,2,2,gana_local,2
2025-08-24,deportivo maipu,los andes,1,1,0.7428571428571429,0.22857142857142854,6,2,0.333,5,6,49,24,47.167,6,3,0.5,7,3,51,28,49.167,2,0,empate,2
2025-08-24,temperley,def de belgrano,1,1,0.48571428571428577,0.9428571428571428,6,3,0.5,3,0,41,19,49.167,6,1,0.167,4,7,52,24,51.167,2,0,empate,2
2025-08-24,alte brown,gimnasia jujuy,0,0,0.34285714285714286,0.05714285714285716,6,2,0.333,7,6,44,22,49.667,6,2,0.333,8,3,55,30,53.167,0,0,empate,2
2025-08-24,colegiales,patronato,0,0,0.8,0.4,6,3,0.5,7,5,36,22,45.333,6,3,0.5,4,5,59,26,52.667,0,0,empate,2
2025-08-24,central norte,gimnasia mendoza,1,0,0.02857142857142858,0.6,6,1,0.167,5,6,47,24,51.667,6,5,0.833,8,2,57,30,51.833,1,1,gana_local,2
2025-08-24,deportivo moron,nueva chicago,1,0,0.8571428571428572,0.6857142857142857,6,2,0.333,6,7,70,27,49.167,6,2,0.333,5,6,43,21,50.167,1,1,gana_local,2
2025-08-23,ca estudiantes,talleres (re),2,0,0.9142857142857143,0.37142857142857144,6,4,0.667,9,2,58,36,48.667,6,3,0.5,7,6,59,40,50.5,2,2,gana_local,2
2025-08-23,colon,chacarita,1,1,0.0,0.02857142857142858,6,2,0.333,5,11,53,27,48.333,6,2,0.333,5,5,53,26,53.333,2,0,empate,2
2025-08-23,alvarado,tristan suarez,0,0,0.4,0.7142857142857143,6,1,0.167,4,2,66,22,45.5,6,2,0.333,6,5,50,29,46.5,0,0,empate,2
2025-08-23,atlanta,ferro carril oeste,2,1,0.5428571428571429,0.5142857142857142,6,1,0.167,4,8,57,27,50.5,6,1,0.167,3,8,56,26,52.0,3,1,gana_local,2
2025-08-23,arsenal sarandi,club a guemes,2,1,0.08571428571428574,0.7714285714285715,6,3,0.5,11,10,82,45,49.833,6,0,0.0,5,8,69,26,51.667,3,1,gana_local,2
2025-08-22,quilmes,san miguel,2,0,0.11428571428571432,0.2571428571428571,6,2,0.333,6,9,50,30,50.5,6,3,0.5,7,7,61,37,51.333,2,2,gana_local,2
2025-08-21,san martin tuc,deportivo maipu,2,1,0.02857142857142858,0.7428571428571429,6,1,0.167,4,8,53,25,53.0,6,3,0.5,5,4,42,21,48.0,3,1,gana_local,2
